time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-16T14:29:54.600Z,41.76,22.83,23,3.3,md,6,276.9,,,us,usp000g6zb,2014-11-07T01:36:01.548Z,Macedonia,earthquake,,,,,reviewed,ath,ath
2008-05-12T10:11:56.320Z,43.195,25.944,15.7,4.1,mb,116,53.8,,,us,usp000g67x,2014-11-07T01:35:58.001Z,Bulgaria,earthquake,,,,6,reviewed,buc,us
2008-05-06T00:20:55.800Z,41.6,23.5,21,3.8,ml,26,96.5,,,us,usp000g5kk,2014-11-07T01:35:51.558Z,Bulgaria,earthquake,,,,,reviewed,ath,the
2008-04-15T18:02:54.170Z,42.302,25.233,30,2.9,ml,7,282.2,,,us,usp000g406,2014-11-07T01:35:37.632Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2008-04-15T03:43:11.720Z,42.917,25.395,10,4.2,mb,124,26.4,,1.16,us,usp000g3y6,2014-11-07T01:35:37.257Z,Bulgaria,earthquake,,,,18,reviewed,us,us
2008-03-24T12:46:48.400Z,41.96,23.177,1.8,4.1,ml,22,128.1,,,us,usp000g281,2014-11-07T01:35:18.771Z,Bulgaria,earthquake,,,,,reviewed,the,the
2008-02-20T10:18:35.090Z,42.684,28.86,60.7,2.7,m,4,326.6,,,us,usp000fzb8,2014-11-07T01:34:59.321Z,Black Sea,earthquake,,,,,reviewed,buc,buc
2008-01-29T05:41:07.870Z,43.259,26.131,5,2.1,ml,5,145.2,,,us,usp000fxpc,2014-11-07T01:34:46.656Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2008-01-29T05:29:34.260Z,43.056,25.892,13.1,2.8,ml,10,259.7,,,us,usp000fxpb,2014-11-07T01:34:46.654Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2008-01-25T10:10:30.220Z,42.365,26.071,5,3,md,37,60.7,,0.82,us,usp000fxe4,2014-11-07T01:34:45.857Z,Bulgaria,earthquake,,,,,reviewed,us,sof
2007-12-07T04:40:11.000Z,41.679,28.476,8.2,3.4,md,8,285.8,,,us,usp000ftz4,2014-11-07T01:34:22.063Z,western Turkey,earthquake,,,,,reviewed,isk,isk
2007-12-01T07:08:10.480Z,43.844,26.083,0,2.6,ml,5,235.3,,,us,usp000ftn4,2014-11-07T01:34:18.924Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2007-10-26T17:25:45.220Z,43.288,24.873,18.2,2.5,ml,9,251.9,,,us,usp000frah,2014-11-07T01:33:59.674Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2007-10-14T14:43:43.250Z,44.103,27.117,4.5,2.9,ml,7,257.5,,,us,usp000fqj6,2014-11-07T01:33:55.903Z,Bulgaria,earthquake,,,,,reviewed,buc,buc
2007-10-04T23:47:41.940Z,42.978,22.372,10,4.5,ml,11,183.1,,0.77,us,usp000fpwj,2014-11-07T01:33:50.850Z,Serbia,earthquake,,,,,reviewed,us,bra
2007-09-15T14:40:37.070Z,41.86,22.959,2.8,3.7,ml,23,162.6,,,us,usp000fnbu,2014-11-07T01:33:35.550Z,Bulgaria,earthquake,,,,,reviewed,the,the
2007-09-14T19:58:17.460Z,41.864,22.998,2.3,3.7,ml,30,88.9,,,us,usp000fn9a,2014-11-07T01:33:35.237Z,Bulgaria,earthquake,,,,,reviewed,the,ath
2007-08-25T13:48:41.070Z,41.66,22.335,1.2,3.2,ml,19,139.8,,,us,usp000fkp5,2014-11-07T01:33:22.733Z,Macedonia,earthquake,,,,,reviewed,the,the
2007-08-18T10:32:05.380Z,41.683,22.849,2.1,3.4,ml,23,107.1,,,us,usp000fk3x,2014-11-07T01:33:18.890Z,Macedonia,earthquake,,,,,reviewed,the,ath
2007-08-11T06:25:09.600Z,41.35,23.41,20,3.4,md,15,144,,,us,usp000fjd6,2014-11-07T01:33:14.242Z,Greece-Bulgaria border region,earthquake,,,,,reviewed,ath,ath
2007-08-03T19:32:41.000Z,41.535,23.597,4.5,4,ml,38,38.4,,,us,usp000fhtg,2014-11-07T01:33:11.466Z,Bulgaria,earthquake,,,,,reviewed,the,the
2007-07-28T23:24:36.200Z,41.89,23.15,29,3.4,md,8,144.5,,,us,usp000fhaw,2014-11-07T01:33:04.978Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2007-07-15T04:57:28.700Z,41.34,23.9,28,3.6,md,5,169.1,,,us,usp000fg6u,2014-11-07T01:32:57.623Z,Greece-Bulgaria border region,earthquake,,,,,reviewed,ath,ath
